Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Honor X5 Plus 4GB,1.724.250 ₫,2.790.000 ₫,9 tháng,Trầy xước ít,Trung Quốc,10/2023,9,,,163.32 x 8.35 x 75.07 mm,188 g,,Nhựa,MediaTek Helio G36,Octa-Core,8,2.2 GHz,4 GB,6.56 inch,TFT LCD,,720 x 1612 Pixels,16.7 Triệu,90 Hz,,,,IMG GE8320,64 GB,,,Không,Double rear camera,Standard - Wide,50 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Chụp chân dung Siêu cận (Macro) Trôi nhanh thời gian (Time Lapse) HDR Toàn cảnh (Panorama) Chuyên nghiệp (Pro) Nhãn dán (AR Stickers),Single selfie camera,Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng,,3G 4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.1,,2,2 Nano SIM,Lithium polymer,5200 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,20:15,,,,,4 x Cortex A53 2.2 GHz + 4 x Cortex A53,,,,,,,,,,,
iPhone 15 Demo,,Not available,12 tháng,Trầy xước ít,Trung Quốc,09/2023,12,,,147.6 x 71.6 x 7.8 mm,171 g,IP68,Khung máy: Nhôm nguyên khối,Apple A16 Bionic,6 - Core,6,,6 GB,6.1 inch,OLED,Super Retina XDR,2556 x 1179 Pixels,,,Phủ Ceramic,Điện dung đa điểm,2000 nits,,128 GB,,,,Double rear camera,,48.0 MP - 12.0 MP - 12.0 MP,,,Quay chậm (Slow Motion) Chụp chân dung Chụp góc rộng (Wide) HDR Chống rung quang học (OIS) Tự động lấy nét (AF) Chạm lấy nét Flash LED,Single selfie camera,Cảm biến khí áp kế Con quay hồi chuyển Cảm biến ánh sáng Cảm biến gia tốc Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,1 Type C,Wifi 6,GLONASS GALILEO QZSS BEIDOU,v5.3,,1,"1 eSIM, 1 Nano SIM",Lithium-ion,20 Giờ,iOS,iOS 17,Cáp USB-C to USB-C Que lấy SIM Sách HDSD,,,,,,,2.000.000:1,,,,,Standard,Ultra Wide,,4K 4320p@24fps 4K 2160p@25fps 4K 4230p@30fps 4K 4230p@60fps HD 720p@30fps FullHD 1080p@25fps FullHD 1080p@60fps FullHD 1080p@30fps,Quay phim 4K Quay phim FullHD Quay phim Slow Motion,Tự động lấy nét (AF) HDR Nhận diện khuôn mặt Chế độ chân dung Ổn định hình ảnh quang học Flash màn hình,,,,
iPhone 15 Pro,22.196.240 ₫,28.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2023,12,,,146.6 x 70.6 x 8.25,187 g,IP68,Khung máy: Titanium,Apple A17 Pro,6 - Core,6,,8 GB,6.1 inch,OLED,Super Retina XDR,2556 x 1179 Pixels,,,Phủ Ceramic,Điện dung đa điểm,2000 nits,,128 GB,,,,Triple rear camera,,48.0 MP - 12.0 MP - 12.0 MP - 12.0 MP,,,Chụp chân dung Quay chậm (Slow Motion) HDR Chụp góc rộng (Wide) Chống rung quang học (OIS) Ổn định hình ảnh quang học Trôi nhanh thời gian (Time Lapse) Toàn cảnh (Panorama) Nhận diện khuôn mặt Tự động lấy nét (AF) Chạm lấy nét Flash LED Ban đêm (Night Mode) Chuyên nghiệp (Pro) Chụp góc siêu rộng (Ultrawide),Single selfie camera,Cảm biến khí áp kế Con quay hồi chuyển Cảm biến ánh sáng Cảm biến gia tốc Cảm biến tiệm cận Cảm biến la bàn,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,Cổng sạc: Type C Audio Jack: Type C,Wifi 6,GALILEO GLONASS BEIDOU GPS QZSS,v5.3,NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,23 Giờ,iOS,iOS 17,Cáp USB-C to USB-C Que lấy SIM Sách HDSD,,,,,,,2.000.000:1,,,,,Standard,Ultra Wide,Telephoto,4K 2160p@25fps 4K 2160p@24fps 4K 2160p@30fps 4K 2160p@60fps FullHD 1080p@25fps FullHD 1080p@60fps FullHD 1080p@30fps HD 720p@30fps,Quay phim FullHD Quay phim 4K,Chụp góc rộng (Wide) Ban đêm (Night Mode) HDR Live Photo Flash màn hình Ổn định hình ảnh quang học Nhận diện khuôn mặt Chế độ chân dung,,,,
iPhone 15 Pro Demo,,Not available,12 tháng,Trầy xước ít,,,12,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPhone 15 Plus Demo,17.414.320 ₫,Not available,12 tháng,Trầy xước ít,,,12,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honor X8A Demo,2.497.000 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,162.9 x 74.5 x 7.48,179 g,,Nhựa,MediaTek Helio G88,Octa-Core,8,2 GHz,8 GB,6.7 inch,IPS LCD,FHD+,1080 x 2376 Pixel,16.7 Triệu,90 Hz,,Điện dung đa điểm,,Mali-G52 MC2,128 GB,,,,Triple rear camera,Wide - Ultra Wide - Macro lens,100.0 MP - 5.0 MP - 2.0 MP - 16.0 MP,ƒ/1.9 - ƒ/2.2 - ƒ/2.4 - ƒ/2.5,1080p@30fps - Quay phim FullHD,Flash LED HDR Toàn cảnh (Panorama) - Live Photo Nhận diện khuôn mặt,,,,2G 4G 3G,,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Direct,,v5.1,NFC,2,2 Nano SIM,Lithium polymer,4500 mAh,Android,Android 12,Sạc Sách HDSD Thẻ bảo hành,,,,,19.5:9,393 ppi,,,,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,,,,,,,,,,
OPPO Reno8 T 4G 8GB,4.908.750 ₫,8.490.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,02/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160.8 x 73.8 x 7.85,179.5 g,IP54,Mặt lưng máy: Thủy tinh hữu cơ Khung máy: Hợp kim,MediaTek Helio G99,Octa-Core,8,2.2 GHz,8 GB,6.4 inch,AMOLED,FHD+,1080 x 2400 Pixels,16 Triệu,90 Hz,Gorilla Glass 5,Điện dung đa điểm,800 nits,,256 GB,,Không giới hạn,MicroSD,Triple rear camera,Wide - Mono - Macro lens,100.0 MP - 2.0 MP - 2.0 MP - 32.0 MP,ƒ/1.7 - ƒ/2.4 - f/3.3 - ƒ/2.4,HD 720p@30fps FullHD 1080p@30fps - Quay phim HD Quay phim FullHD,Trôi nhanh thời gian (Time Lapse) Toàn cảnh (Panorama) Siêu cận (Macro) Lấy nét laser A.I Camera Chụp góc rộng (Wide) Flash LED Chuyên nghiệp (Pro) Chụp góc siêu rộng (Ultrawide) Làm đẹp (Beautify) Quay chậm (Slow Motion) Làm đẹp video Ban đêm (Night Mode) HDR - Làm đẹp (Beautify) Nhãn dán (AR Stickers) Nhận diện khuôn mặt Ban đêm (Night Mode) Tự động lấy nét (AF) A.I Camera,Single selfie camera,Cảm biến trọng lực Cảm biến la bàn Cảm biến ánh sáng Con quay hồi chuyển Cảm biến tiệm cận,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt Mở khóa bằng mật mã,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac Wi-Fi Hotspot Dual-band (2.4 GHz/ 5 GHz),A-GPS,v5.3,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13),Sách HDSD Sạc Cáp Que lấy SIM,2 TB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 13 Pro Plus 5G 8GB,7.351.630 ₫,10.990.000 ₫,5 tháng,Trầy xước ít,Trung Quốc,01/2024,5,,,161.4 x 74.2 x 8.9,204.5 g,IP68,Khung máy: Nhựa Mặt lưng máy: Kính,Dimensity 7200 Ultra,,,,8 GB,6.67 inch,AMOLED,1.5K,2712 x 1220 Pixels,,120,,,,,256 GB,Khoảng 251 GB,Không giới hạn,Không,Triple rear camera,Standard - Ultra Wide - Macro lens,200.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,,4K 2160p@30fps - Quay phim FullHD,Chống rung quang học (OIS) - HDR,Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình,5G,Cổng sạc: Type C,802.11 a/b/g/n/ac/ax,GPS GLONASS,v5.3,NFC,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Sạc Cáp Ốp lưng Que lấy SIM Sách HDSD,,,,,,,,,,,,,,,,,,,,,
iPhone 14 Plus,17.171.440 ₫,24.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2022,12,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160.8 x 78.1 x 7.8 mm,203 g,IP68,,Apple A15 Bionic,,6,3.22 GHz,6 GB,6.7 inch,OLED,Super Retina XDR,2778 x 1284 Pixels,,60 Hz,,Điện dung đa điểm,2000 nits,Apple GPU 5 nhân,128 GB,,,Không,Double rear camera,,12.0 MP - 12.0 MP - 12.0 MP,,,,Single selfie camera,Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,1 Lightning,802.11 a/b/g/n/ac/ax,BEIDOU GALILEO GLONASS,v5.3,,1,"1 eSIM, 1 Nano SIM",Lithium-ion,4325 mAh,iOS,iOS 16,Sách HDSD Que lấy SIM Cáp,,,,,,,,,,,,Wide,Ultra Wide,,4K 4230p@60fps 4K 4320p@24fps 4K 4230p@30fps FullHD 1080p@30fps FullHD 1080p@25fps HD 720p@30fps FullHD 1080p@60fps,,,,,,
iPhone 15 Plus,18.997.440 ₫,25.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2023,12,,,160.9 x 77.8 x 7.80 mm,201 g,IP68,Khung máy: Nhôm nguyên khối Mặt lưng máy: Kính,Apple A16 Bionic,6 - Core,,,6 GB,6.7 inch,OLED,Super Retina XDR,2796 x 1290 Pixels,,,Phủ Ceramic,Điện dung đa điểm,2000 nits,Apple GPU 5 nhân,128 GB,,Không giới hạn,Không,Double rear camera,,48.0 MP - 12.0 MP - 12.0 MP,,,Chụp chân dung Quay chậm (Slow Motion) HDR Chụp góc rộng (Wide) Chống rung quang học (OIS) Ổn định hình ảnh quang học Trôi nhanh thời gian (Time Lapse) Toàn cảnh (Panorama) Nhận diện khuôn mặt Tự động lấy nét (AF) Chạm lấy nét Live Photo Ban đêm (Night Mode) Chuyên nghiệp (Pro),Single selfie camera,Cảm biến khí áp kế Con quay hồi chuyển Cảm biến ánh sáng Cảm biến la bàn Cảm biến gia tốc Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,Cổng sạc: Type C Audio Jack: Type C,Wifi 6,GALILEO GLONASS BEIDOU GPS QZSS,v5.3,NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,26 Giờ,iOS,iOS 17,Cáp USB-C to USB-C Que lấy SIM Sách HDSD,,,,,,,2.000.000:1,,,,,Standard,Ultra Wide,,4K 2160p@25fps 4K 2160p@24fps 4K 2160p@60fps 4K 2160p@30fps FullHD 1080p@25fps FullHD 1080p@60fps FullHD 1080p@30fps HD 720p@30fps,Quay phim 4K Quay phim FullHD,Tự động lấy nét (AF) Ban đêm (Night Mode) HDR Live Photo Flash màn hình Nhận diện khuôn mặt Ổn định hình ảnh quang học Chế độ chân dung,,,,
iPhone 15 Pro Max Demo,24.653.970 ₫,Not available,12 tháng,Trầy xước ít,,,12,,,,,,,,,,,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPhone 14 Pro Max,22.439.120 ₫,29.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2022,12,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160.7 x 77.6 x 7.85,240 g,IP68,,Apple A16 Bionic,,6,3.46 GHz,6 GB,6.7 inch,OLED,Super Retina XDR,2796 x 1290 Pixels,,120 Hz,Kính cường lực,Điện dung đa điểm,2000 nits,Apple GPU 5 nhân,128 GB,Khoảng 113 GB,Không giới hạn,Không,Triple rear camera,,48.0 MP - 12.0 MP - 12.0 MP - 12.0 MP,,,Zoom quang học Siêu cận (Macro) Live Photo Bộ lọc màu HDR Trôi nhanh thời gian (Time Lapse) Chụp góc siêu rộng (Ultrawide) Toàn cảnh (Panorama) Chống rung quang học (OIS) Ban đêm (Night Mode) Quay chậm (Slow Motion) Xóa phông Zoom kỹ thuật số,Single selfie camera,Cảm biến tiệm cận,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G,1 Lightning,Wi-Fi Hotspot 802.11 a/b/g/n/ac/ax,GLONASS GPS GALILEO QZSS BEIDOU,v5.3,NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,4323 mAh,iOS,iOS 16,Que lấy SIM Sách HDSD Cáp,,,,,,,,,,,,Standard,Ultra Wide,Telephoto,4K 4320p@24fps FullHD 1080p@60fps FullHD 1080p@25fps HD 720p@30fps 4K 4230p@30fps FullHD 1080p@30fps 4K 4230p@60fps,Quay phim Slow Motion Quay phim 4K Quay phim FullHD,Ban đêm (Night Mode) Live Photo Tự động lấy nét (AF) HDR,,,,
Masstel Fami 60 4G,299.200 ₫,750.000 ₫,3 tháng,Trầy xước ít,Trung Quốc,11/2021,3,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,57.1 x 15.3 x 125.9,146.2 g,,Mặt lưng máy: Nhựa Khung máy: Kim loại,Unisoc UIS8910,,,,16 MB,2.0 inch,TFT LCD,QVGA,176 x 220 Pixels,262.000,,Mặt kính cong 2.5D,,,,24 MB,,500 Số,MicroSD,,,,,,,,,,4G,Cổng sạc: Type C,,,v4.2,Radio FM,2,2 Nano SIM,Lithium-ion,2000 mAh,,,Sách HDSD Sạc,32 GB,,,,,,,,,,,,,,,,,FM không cần tai nghe,,,
Xiaomi 14 12GB,15.288.350 ₫,22.990.000 ₫,6 tháng,Trầy xước ít,Trung Quốc,03/2024,6,,,152.8 x 71.5 x 8.2,193 g,IP68,Mặt lưng máy: Kính,Snapdragon 8 Gen 3,8 gen 3,8,3.3 GHz,12 GB,6.36 inch,LTPO AMOLED,FHD+,2670 x 1200 Pixels,,120,Corning Gorilla Glass Victus,,3000 nits,Qualcomm Adreno,256 GB,Khoảng 225 GB,,Không,Triple rear camera,"Ống kính chính, góc rộng - Telephoto - Zoom",50.0 MP - 50.0 MP - 50.0 MP - 32.0 MP,ƒ/1.6 - ƒ/2.0 - ƒ/2.2 - ƒ/2.0,8K 4320p@24fps 4K 2160p@60fps,"Xiaomi ProFoucs Chụp chân dung đêm Siêu quay phim đêm Ống kính kết hợp cùng Leica - Ban đêm (Night Mode) Dynamic Framing Chế độ chân dung HDR - Loa kép với công nghệ Dolby Atmos, 4-MIC thu âm Công nghệ sạc HyperCharge Hỗ trợ sạc không dây",Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình,5G,Cổng sạc: Type C,Wifi 7,,v5.4,NFC,2,,Lithium polymer,4610 mAh,Android,Android 13.0 (Hyper OS),Cáp Type C Sạc Sách HDSD Ốp lưng Que lấy SIM,,,LPDDR5X,,20:9,460 ppi,,100% P3,2.40 µm - 0.70 µm,,,,,,,,,,Light Fusion 900,,
Samsung Galaxy A04,1.481.480 ₫,Not available,1 tháng,Trầy xước ít,Việt Nam,01/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 75.9 x 9.1,192 g,Không,Mặt lưng máy: Nhựa Khung máy: Nhựa,Helio P35,Octa-Core,8,1.6 GHz,3 GB,6.5 inch,PLS LCD,HD+,720 x 1600 Pixels,16 Triệu,60 Hz,Mặt kính cong 2.5D,Điện dung đa điểm,400 nits,Mali-G57,32 GB,Khoảng 22 GB,Tùy bộ nhớ,MicroSD,Double rear camera,Wide - Depth,50.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,FullHD 1080p@30fps,Flash LED - Làm đẹp (Beautify),Single selfie camera,,Mở khóa bằng mật mã,4G 3G,Audio Jack: Jack 3.5 mm Cổng sạc: Type C,Wi-Fi Direct Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Hotspot 802.11 a/b/g/n/ac,A-GPS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12,Sách HDSD Sạc Cáp,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A54 5G,5.852.000 ₫,11.490.000 ₫,1 tháng,Trầy xước ít,Việt Nam / Trung Quốc,3/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,158.2 x 76.7 x 8.2,202 g,IP67,,Exynos 1380,,8,2.4 GHz,8 GB,6.4 inch,Super AMOLED,FHD+,1080 x 2400 Pixels,,,,Điện dung đa điểm,1000 nits,,256 GB,,,,Triple rear camera,Wide - Ultra Wide - Macro lens,50.0 MP - 12.0 MP - 5.0 MP - 32.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,,Chống rung quang học (OIS),Single selfie camera,Cảm biến vân tay,,4G 5G,Type C,802.11 a/b/g,GPS,v5.2,,2,2 Nano SIM,,5000 mAh,Android,Android 12,Cáp Sách HDSD Que lấy SIM,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Fold5 5G,21.424.260 ₫,40.990.000 ₫,1 tháng,Trầy xước ít,,,1,,,,,,,,,,,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điện Thoại Di Động Samsung Galaxy Z Flip4 5G 256GB Vàng - F721,7.313.460 ₫,Not available,1 tháng,Không trầy xước,Việt Nam,08/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,183 g,IPX8,Khung máy: Kim loại Mặt lưng máy: Kính cường lực,Snapdragon 8+ Gen 1,Octa-Core,8,,8 GB,1.9 inch,Dynamic AMOLED 2X,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1200 nits,,256 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,FullHD 1080p@30fps FullHD 1080p@60fps HD 720p@30fps - Quay phim FullHD,Xóa phông Chống rung quang học (OIS) Gắn thẻ ảnh địa lý Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Tự động lấy nét (AF) Làm đẹp (Beautify) Zoom quang học Lấy nét theo pha (PDAF) Chụp góc rộng (Wide) HDR Làm đẹp video Lấy nét laser Toàn cảnh (Panorama) Chụp góc siêu rộng (Ultrawide) Flash LED Nhận diện khuôn mặt Cài đặt cân bằng trắng ISO Setting Ban đêm (Night Mode) A.I Camera Chuyên nghiệp (Pro) Zoom kỹ thuật số Ổn định hình ảnh quang học - Tự động lấy nét (AF) Làm đẹp (Beautify) Nhãn dán (AR Stickers) A.I Camera Nhận diện khuôn mặt HDR,Single selfie camera,Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến la bàn Cảm biến vân tay,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,,802.11 a/b/g/n,A-GPS GALILEO GLONASS QZSS,v5.2,OTG Radio FM NFC Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,3700 mAh,Android,Android 12,Cáp Sách HDSD Que lấy SIM,,82%,LPDDR5,19 inch,21:9,,,,,,,,,,,,,,,,
Realme C55 6GB-128GB Demo,2.706.550 ₫,Not available,5 tháng,Trầy xước ít,Trung Quốc,03/2023,5,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.65 x 75.98 x 7.89,189.5 g,Không,Nhựa,MediaTek Helio G88,,8,2.0 GHz,6 GB,6.7 inch,Chính: LCD,FHD+,1080 x 2400 Pixels,,,,Điện dung đa điểm,,,128 GB,,,MicroSD,Double rear camera,Wide - Depth,64.0 MP - 2.0 MP - 8.0 MP,,1080p@30fps 1080p@60fps 720p@60fps,A.I Camera Ban đêm (Night Mode) Bộ lọc màu Chụp chân dung HDR Hiệu ứng Bokeh Làm đẹp (Beautify) Toàn cảnh (Panorama) - HDR,Single selfie camera,Cảm biến vân tay,Mở khoá vân tay cạnh viền Mở khóa bằng mật mã Mở khóa khuôn mặt,4G,Type C,Dual-band (2.4 GHz/ 5 GHz),BEIDOU GALILEO GPS GLONASS,v5.2,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Sách HDSD Que lấy SIM Sạc Ốp lưng,,86%,,,20:9,,,,,,,,,,,,,,,,
OPPO A78 8GB,4.039.200 ₫,6.990.000 ₫,1 tháng,,Trung Quốc,07/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160 x 73.23 x 7.93 mm,180 g,IP54,Mặt lưng máy: Thủy tinh hữu cơ Khung máy: Hợp kim,Snapdragon 680,,8,2.40 GHz,8 GB,6.4 inch,Màn hình chính: AMOLED,Màn hình chính: FHD+,Màn hình chính: 1080 x 2400 Pixels,16 Triệu,90 Hz,Màn hình chính: Gorilla Glass 5,Điện dung đa điểm,,Adreno 610,256 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Bokeh,50.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.0,FullHD 1080p@120fps - Quay phim HD Quay phim FullHD,Tự động lấy nét (AF) Toàn cảnh (Panorama) Ban đêm (Night Mode) A.I Camera Xóa phông Chuyên nghiệp (Pro) Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) - A.I Camera Ban đêm (Night Mode) Nhãn dán (AR Stickers),Single selfie camera,Cảm biến la bàn Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến gia tốc,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt Mật khẩu,4G,Type C,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac,GPS,v5.0,Jack 3.5 mm OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13.1),Sạc Sách HDSD Que lấy SIM Ốp lưng,1 TB,,,,,,,,,,,,,,,,,,,,
iPhone 15,16.998.300 ₫,22.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2023,12,,,147.6 x 71.6 x 7.8 mm,171 g,IP68,Khung máy: Nhôm nguyên khối Mặt lưng máy: Kính,Apple A16 Bionic,6 - Core,6,,6 GB,6.1 inch,OLED,Super Retina XDR,2556 x 1179 Pixels,,,Phủ Ceramic,Điện dung đa điểm,2000 nits,Apple GPU 5 nhân,128 GB,,Không giới hạn,Không,Double rear camera,,48.0 MP - 12.0 MP - 12.0 MP,,,Quay chậm (Slow Motion) Chụp chân dung Chụp góc rộng (Wide) HDR Chống rung quang học (OIS) Tự động lấy nét (AF) Chạm lấy nét Flash LED,Single selfie camera,Cảm biến khí áp kế Con quay hồi chuyển Cảm biến ánh sáng Cảm biến gia tốc Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,Cổng sạc: Type C Audio Jack: Type C,Wifi 6,GLONASS GALILEO QZSS BEIDOU,v5.3,,1,"1 eSIM, 1 Nano SIM",Lithium-ion,20 Giờ,iOS,iOS 17,Cáp USB-C to USB-C Que lấy SIM Sách HDSD,,,,,,,2.000.000:1,,,,,Standard,Ultra Wide,,4K 4320p@24fps 4K 2160p@25fps 4K 4230p@30fps 4K 4230p@60fps HD 720p@30fps FullHD 1080p@25fps FullHD 1080p@60fps FullHD 1080p@30fps,Quay phim 4K Quay phim FullHD Quay phim Slow Motion,Tự động lấy nét (AF) HDR Nhận diện khuôn mặt Chế độ chân dung Ổn định hình ảnh quang học Flash màn hình,,,,
Vivo Y22s 8GB,3.618.450 ₫,5.990.000 ₫,4 tháng,Trầy xước ít,Trung Quốc,09/2022,4,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.30 x 76.10 x 8.38,192 g,IPX4,Mặt lưng máy: Polymer,Snapdragon 680,,8,2.4 GHz,8 GB,6.55 inch,Chính: LCD,HD+,720 x 1612 Pixels,,90 Hz,,Điện dung đa điểm,,,128 GB,,Tùy bộ nhớ,MicroSD,Double rear camera,Standard - Macro lens,50.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.0,720p@30fps 720p@60fps 1080p@30fps,Bộ lọc màu Chạm lấy nét Ban đêm (Night Mode) Toàn cảnh (Panorama) Flash LED Siêu cận (Macro) Chuyên nghiệp (Pro) - Ban đêm (Night Mode) - Mở rộng bộ nhớ RAM,Single selfie camera,Cảm biến trọng lực Cảm biến la bàn Cảm biến ánh sáng Con quay hồi chuyển Cảm biến tiệm cận,Mở khóa khuôn mặt Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Type C,Dual-band (2.4 GHz/ 5 GHz),GPS GLONASS GALILEO BEIDOU QZSS,v5.0,OTG Radio FM,2,2 Nano SIM,,5000 mAh,Android,Android 12,Sách HDSD Que lấy SIM Sạc Miếng dán màn hình Dây cáp sạc,1 TB,,,,20:9,,,,,,,,,,,,,,,,
